id,fails,passes,Priority,CreatedDate,Steps,LastResult
2983,10,7,3,2021-12-06,29,1
2984,5,9,1,2021-09-29,5,0
2985,2,1,2,2021-11-16,23,0
2986,9,7,1,2021-09-08,17,1
2987,3,5,1,2021-10-03,13,1
2988,8,10,2,2021-10-31,29,1
2989,3,6,1,2021-09-21,11,1
2990,1,10,1,2021-09-30,16,0
2991,3,9,1,2021-12-15,21,0
2992,7,1,1,2021-11-04,12,0
2993,9,10,3,2021-12-27,30,0
2994,4,9,3,2021-09-25,27,1
2995,1,4,2,2021-11-20,25,1
2996,10,3,2,2021-11-30,19,0
2997,1,4,3,2021-11-10,14,1
2998,9,3,3,2021-08-07,18,0
2999,5,9,3,2021-12-17,4,0
3000,4,4,1,2021-09-23,25,0
3001,6,7,3,2021-12-10,22,1
3002,1,8,1,2021-11-03,21,0
3003,7,3,1,2021-12-13,30,1
3004,3,8,2,2021-11-18,28,0
3005,6,8,3,2021-08-31,27,0
3006,10,10,1,2021-08-16,6,1
3007,8,5,1,2021-09-24,5,1
3008,3,6,2,2021-10-01,16,1
3009,9,8,3,2021-12-09,6,0
3010,7,6,1,2021-08-20,26,0
3011,10,6,2,2021-08-31,1,0
3012,1,2,1,2021-08-04,4,0
3013,9,7,2,2021-10-05,18,0
3014,4,8,3,2021-08-13,21,1
3015,9,6,1,2021-12-05,29,1
3016,3,10,2,2021-08-12,24,0
3017,5,6,1,2021-09-20,25,1
3018,4,9,1,2021-11-16,26,0
3019,7,3,1,2021-08-30,1,0
3020,6,5,1,2021-12-20,25,0
3021,2,4,3,2021-08-02,2,0
3022,6,2,2,2021-11-28,5,0
3023,7,4,1,2021-10-27,15,1
3024,9,8,3,2021-11-12,27,0
3025,1,10,2,2021-11-01,16,1
3026,8,6,2,2021-09-15,3,0
3027,6,6,3,2021-08-11,12,0
3028,9,1,3,2021-11-30,26,0
3029,2,2,3,2021-09-06,27,0
3030,10,1,2,2021-08-09,15,0
3031,9,1,1,2021-09-15,23,0
3032,4,3,3,2021-10-09,9,0
3033,8,9,1,2021-11-07,7,1
3034,2,3,3,2021-08-02,19,1
3035,6,5,3,2021-10-15,23,0
3036,10,7,2,2021-11-16,19,0
3037,3,6,3,2021-10-24,18,1
3038,3,4,2,2021-09-15,16,0
3039,1,9,1,2021-12-01,3,1
3040,1,4,3,2021-09-13,29,0
3041,7,3,1,2021-11-21,24,1
3042,2,6,3,2021-09-07,27,0
3043,3,1,1,2021-10-25,8,1
3044,10,10,3,2021-10-23,5,1
3045,1,8,3,2021-11-27,14,0
3046,3,10,2,2021-08-02,13,0
3047,2,3,2,2021-10-05,8,0
3048,6,7,1,2021-12-10,21,1
3049,6,1,1,2021-08-29,25,1
3050,10,9,2,2021-09-29,2,0
3051,6,9,2,2021-10-21,22,0
3052,3,5,3,2021-12-25,1,1
3053,9,4,1,2021-12-20,16,1
3054,9,8,3,2021-09-26,10,1
3055,1,7,2,2021-09-03,26,1
3056,5,9,1,2021-08-18,20,0
3057,1,1,3,2021-08-23,6,0
3058,5,8,1,2021-10-09,7,1
3059,3,6,1,2021-10-03,12,0
3060,3,9,1,2021-11-02,18,1
3061,6,1,1,2021-10-06,24,1
3062,10,10,2,2021-08-17,6,0
3063,1,2,2,2021-10-05,7,0
3064,10,1,3,2021-08-14,11,0
3065,8,9,2,2021-12-14,9,1
3066,1,5,1,2021-09-29,19,0
3067,5,4,2,2021-10-18,22,1
3068,3,9,3,2021-09-05,25,0
3069,7,10,3,2021-11-07,11,1
3070,5,9,1,2021-10-15,11,0
3071,4,2,1,2021-12-10,9,0
3072,4,8,3,2021-11-19,14,1
3073,5,6,1,2021-10-13,10,0
3074,7,6,2,2021-08-25,19,1
3075,4,5,3,2021-08-06,13,0
3076,5,9,2,2021-08-02,19,1
3077,9,5,3,2021-08-17,7,0
3078,6,9,2,2021-11-19,16,1
3079,1,9,2,2021-10-08,28,0
3080,3,5,2,2021-10-07,24,1
3081,6,5,2,2021-12-08,30,1
3082,10,8,2,2021-08-10,9,1
3083,2,2,2,2021-10-18,29,0
3084,5,6,3,2021-12-01,27,0
3085,4,5,3,2021-11-16,11,1
3086,4,6,3,2021-10-30,7,0
3087,2,4,1,2021-08-19,30,1
3088,3,6,2,2021-09-24,5,1
3089,1,9,2,2021-09-04,24,1
3090,6,6,3,2021-08-17,26,1
3091,9,6,2,2021-12-07,15,0
3092,5,10,2,2021-09-30,27,0
3093,9,8,3,2021-08-12,10,1
3094,6,9,3,2021-11-25,18,0
3095,10,6,2,2021-11-04,19,1
3096,6,5,1,2021-12-26,29,1
3097,3,9,2,2021-08-08,30,1
3098,5,2,2,2021-08-24,1,0
3099,3,6,2,2021-08-18,23,0
3100,7,5,2,2021-09-29,24,0
3101,6,2,3,2021-08-26,30,0
3102,1,3,2,2021-10-25,19,0
3103,3,4,2,2021-10-15,5,0
3104,4,6,2,2021-12-09,2,0
3105,10,4,1,2021-09-08,10,1
3106,10,3,3,2021-09-24,2,1
3107,7,4,3,2021-09-27,29,1
3108,3,7,2,2021-12-30,13,0
3109,8,10,3,2021-10-07,1,0
3110,4,2,2,2021-12-04,4,0
3111,10,6,3,2021-10-24,5,1
3112,9,4,3,2021-10-21,26,1
3113,4,4,1,2021-12-23,13,0
3114,8,7,3,2021-09-15,23,0
3115,6,6,1,2021-08-29,2,0
3116,4,2,2,2021-10-27,18,0
3117,8,6,1,2021-09-30,9,1
3118,3,4,1,2021-11-04,16,1
3119,9,3,2,2021-10-06,2,1
3120,10,5,1,2021-09-12,6,0
3121,4,1,3,2021-12-12,4,0
3122,2,3,3,2021-10-30,23,0
3123,6,3,3,2021-11-14,17,1
3124,6,9,2,2021-09-19,23,0
3125,8,7,1,2021-09-19,3,0
3126,10,5,2,2021-11-11,4,0
3127,10,1,3,2021-09-27,26,0
3128,9,8,1,2021-09-20,7,0
3129,5,6,2,2021-12-09,25,1
3130,2,5,1,2021-11-13,5,0
3131,7,3,3,2021-08-07,9,1
3132,9,6,3,2021-12-29,4,0
3133,3,8,2,2021-09-15,10,0
3134,3,9,1,2021-12-01,27,1
3135,4,7,3,2021-08-14,23,1
3136,4,9,3,2021-12-01,19,1
3137,6,9,3,2021-12-26,4,1
3138,8,1,3,2021-08-14,30,1
3139,5,8,3,2021-10-11,10,0
3140,7,8,1,2021-10-14,9,1
3141,8,3,3,2021-10-31,16,0
3142,6,8,3,2021-11-08,13,0
3143,1,7,1,2021-11-20,6,0
3144,6,4,2,2021-12-27,22,0
3145,4,8,2,2021-10-03,25,0
3146,9,3,3,2021-12-26,25,0
3147,10,3,1,2021-09-05,25,0
3148,9,2,2,2021-10-14,28,0
3149,8,8,1,2021-12-30,6,1
3150,9,7,3,2021-09-19,1,1
3151,10,4,3,2021-11-28,1,0
3152,8,5,2,2021-10-06,18,0
3153,7,2,3,2021-08-12,15,0
3154,1,7,3,2021-08-19,10,0
3155,5,5,2,2021-11-30,30,0
3156,1,5,2,2021-08-26,30,0
3157,1,10,2,2021-09-28,14,0
3158,4,7,1,2021-10-21,10,1
3159,2,8,2,2021-12-20,14,1
3160,6,8,3,2021-09-10,16,0
3161,1,6,2,2021-09-10,15,1
3162,8,5,1,2021-12-20,11,1
3163,7,2,2,2021-12-04,25,1
3164,6,5,3,2021-12-23,10,1
3165,5,9,2,2021-10-07,10,0
3166,10,4,1,2021-12-13,14,1
3167,8,9,2,2021-09-02,11,1
3168,8,6,1,2021-11-12,24,0
3169,6,1,2,2021-10-02,2,1
3170,1,4,1,2021-12-16,28,0
3171,10,1,1,2021-11-13,13,1
3172,5,4,3,2021-08-15,22,1
3173,10,10,2,2021-10-01,12,1
3174,5,3,3,2021-09-06,28,1
3175,8,10,1,2021-10-18,22,1
3176,2,1,1,2021-10-12,13,1
3177,6,10,3,2021-09-23,24,1
3178,10,1,1,2021-09-06,11,1
3179,9,1,3,2021-09-21,1,0
3180,2,8,3,2021-08-10,14,1
3181,6,3,2,2021-09-16,18,1
3182,3,10,2,2021-12-27,25,1
3183,1,8,1,2021-12-23,13,1
3184,4,9,1,2021-09-25,11,1
3185,6,7,3,2021-10-06,16,0
3186,7,7,2,2021-09-18,13,1
3187,4,5,1,2021-10-30,10,0
3188,6,6,3,2021-11-09,24,1
3189,7,10,1,2021-10-23,3,0
3190,10,2,1,2021-10-04,4,1
3191,8,4,3,2021-10-12,5,0
3192,3,9,3,2021-08-12,21,0
3193,3,9,1,2021-09-07,5,1
3194,10,5,2,2021-11-25,14,0
3195,2,1,1,2021-11-19,15,1
3196,1,6,3,2021-08-24,27,0
3197,2,5,3,2021-08-05,28,1
3198,3,7,3,2021-09-07,13,1
3199,2,2,3,2021-09-10,28,1
3200,7,3,1,2021-12-11,16,1
3201,8,8,3,2021-10-22,22,1
3202,1,6,1,2021-08-02,18,1
3203,6,4,1,2021-11-06,22,0
3204,4,8,1,2021-10-03,26,0
3205,2,8,3,2021-10-24,29,0
3206,1,3,1,2021-08-23,21,1
3207,5,1,3,2021-11-25,19,0
3208,6,5,2,2021-11-06,15,1
3209,1,2,3,2021-08-24,19,1
3210,5,3,2,2021-12-10,24,0
3211,7,7,3,2021-09-09,1,1
3212,5,2,2,2021-12-07,9,0
3213,7,6,1,2021-11-14,16,1
3214,10,3,3,2021-09-11,5,1
3215,4,10,3,2021-10-02,26,0
3216,5,3,2,2021-09-23,17,0
3217,8,7,1,2021-11-05,30,0
3218,3,9,1,2021-08-24,5,1
3219,3,8,3,2021-08-09,5,1
3220,6,4,1,2021-12-15,16,0
3221,10,8,1,2021-11-10,20,1
3222,3,2,3,2021-10-23,17,1
3223,6,6,1,2021-10-03,22,0
3224,3,3,3,2021-09-30,3,1
3225,9,4,1,2021-10-13,3,0
3226,8,3,2,2021-08-10,25,0
3227,2,6,2,2021-08-31,15,0
3228,2,7,3,2021-12-30,25,1
3229,2,4,2,2021-09-19,13,0
3230,1,10,3,2021-10-07,15,0
3231,5,9,2,2021-12-13,16,0
3232,5,4,1,2021-10-05,25,1
3233,3,1,2,2021-09-09,1,1
3234,3,5,1,2021-10-02,17,0
3235,7,5,3,2021-08-12,13,1
3236,8,6,3,2021-10-31,14,0
3237,5,6,3,2021-10-05,22,0
3238,5,8,2,2021-11-02,2,1
3239,8,4,2,2021-11-02,1,0
3240,8,6,1,2021-08-08,13,0
3241,8,3,3,2021-12-15,15,1
3242,6,3,2,2021-08-20,23,1
3243,5,8,3,2021-10-31,28,0
3244,7,3,3,2021-11-12,19,0
3245,3,6,3,2021-11-13,9,1
3246,6,8,1,2021-12-02,24,1
3247,10,9,1,2021-10-03,29,0
3248,9,10,3,2021-09-17,20,1
3249,5,3,3,2021-08-16,10,1
3250,6,9,2,2021-11-02,7,0
3251,7,10,2,2021-11-11,23,1
3252,8,6,3,2021-10-18,23,1
3253,2,9,1,2021-09-22,16,0
3254,1,5,1,2021-09-26,2,1
3255,4,7,2,2021-12-03,15,0
3256,4,10,1,2021-11-11,24,1
3257,8,3,1,2021-09-30,6,0
3258,5,3,2,2021-08-02,26,0
3259,5,1,1,2021-11-22,10,1
3260,8,9,3,2021-12-21,4,0
3261,6,9,1,2021-10-26,22,0
3262,4,6,2,2021-08-26,25,1
3263,7,9,1,2021-11-06,22,0
3264,5,6,3,2021-09-15,26,1
3265,9,5,3,2021-09-26,9,1
3266,10,1,2,2021-09-24,6,1
3267,5,5,2,2021-10-07,20,1
3268,7,6,2,2021-12-21,13,0
3269,6,9,2,2021-12-04,11,0
3270,7,9,3,2021-09-11,22,1
3271,3,1,3,2021-12-24,24,0
3272,6,2,1,2021-08-15,15,1
3273,10,6,3,2021-11-22,12,0
3274,5,5,1,2021-10-22,17,0
3275,8,3,2,2021-12-12,20,1
3276,5,5,3,2021-09-29,24,0
3277,4,9,3,2021-10-27,3,1
3278,8,10,3,2021-08-17,9,0
3279,8,8,1,2021-08-19,29,0
3280,7,10,3,2021-11-15,8,1
3281,2,9,2,2021-10-31,6,0
3282,1,3,2,2021-12-06,21,0
3283,5,9,2,2021-10-22,25,1
3284,10,6,3,2021-08-16,26,0
3285,4,10,1,2021-08-14,14,0
3286,9,10,3,2021-11-13,23,1
3287,10,2,2,2021-12-15,16,0
3288,2,7,3,2021-09-25,19,1
3289,9,3,3,2021-11-16,27,1
3290,7,2,2,2021-10-22,27,1
3291,4,8,3,2021-09-27,9,1
3292,4,4,1,2021-11-26,12,0
3293,9,10,2,2021-08-09,19,1
3294,3,4,2,2021-10-24,22,0
3295,7,4,3,2021-10-07,1,0
3296,1,9,2,2021-08-10,15,0
3297,5,9,1,2021-08-06,28,1
3298,10,9,1,2021-09-21,13,1
3299,6,2,3,2021-11-05,25,1
3300,4,5,1,2021-08-26,23,1
3301,4,1,3,2021-08-13,19,0
3302,1,3,2,2021-08-05,13,0
3303,1,3,2,2021-09-13,3,1
3304,7,6,2,2021-12-30,29,1
3305,10,8,3,2021-09-23,6,1
3306,8,3,2,2021-12-02,20,0
3307,4,7,1,2021-09-01,1,0
3308,1,1,2,2021-12-22,2,1
3309,10,9,2,2021-08-09,8,1
3310,3,6,3,2021-12-13,1,1
3311,5,9,3,2021-09-09,14,1
3312,9,4,3,2021-10-28,3,0
3313,1,4,1,2021-09-19,21,1
3314,4,4,2,2021-09-26,21,0
3315,7,2,1,2021-12-18,1,0
3316,7,9,2,2021-12-03,17,1
3317,10,7,3,2021-09-27,19,1
3318,2,4,2,2021-12-13,28,1
3319,10,6,1,2021-08-27,23,0
3320,1,2,1,2021-08-11,29,1
3321,1,4,1,2021-10-01,4,1
3322,8,1,3,2021-09-24,5,1
3323,1,6,1,2021-12-18,22,0
3324,10,9,3,2021-10-07,23,0
3325,2,6,1,2021-08-05,16,1
3326,2,3,3,2021-11-20,7,0
3327,9,8,2,2021-11-09,30,0
3328,5,8,1,2021-12-23,29,0
3329,9,3,2,2021-10-15,22,1
3330,2,6,1,2021-12-24,24,0
3331,7,10,1,2021-09-15,30,0
3332,5,8,2,2021-08-06,23,1
3333,2,9,2,2021-08-28,30,0
3334,8,9,1,2021-09-19,1,1
3335,4,5,1,2021-12-26,29,0
3336,3,7,3,2021-08-13,30,0
3337,9,6,3,2021-08-01,10,1
3338,9,10,2,2021-11-10,30,0
3339,7,10,2,2021-10-20,15,1
3340,9,5,2,2021-10-25,2,1
3341,10,1,1,2021-11-23,20,1
3342,10,10,2,2021-12-24,25,0
3343,1,3,2,2021-09-05,5,0
3344,5,1,3,2021-09-27,6,0
3345,5,5,1,2021-08-10,10,0
3346,8,6,3,2021-10-26,6,1
3347,2,9,2,2021-10-22,23,1
3348,8,5,2,2021-10-25,26,0
3349,1,10,3,2021-09-29,9,1
3350,7,6,3,2021-10-08,6,1
3351,3,1,1,2021-11-03,11,0
3352,2,8,3,2021-08-13,6,1
3353,6,5,1,2021-10-24,22,1
3354,6,1,1,2021-11-21,13,0
3355,7,2,2,2021-11-06,13,1
3356,2,1,2,2021-11-11,13,1
3357,5,7,1,2021-09-08,19,1
3358,4,5,3,2021-10-03,29,0
3359,8,3,3,2021-12-06,6,0
3360,2,8,1,2021-12-25,7,1
3361,9,9,3,2021-10-13,13,0
3362,8,7,2,2021-08-24,20,0
3363,7,1,1,2021-09-27,9,0
3364,7,7,1,2021-08-21,23,0
3365,2,7,2,2021-10-14,11,0
3366,7,8,2,2021-10-24,10,0
3367,2,3,1,2021-08-22,24,0
3368,1,10,3,2021-10-02,21,0
3369,8,3,2,2021-10-04,15,1
3370,8,8,2,2021-12-25,18,1
3371,8,9,1,2021-11-02,8,0
3372,5,3,3,2021-08-26,5,0
3373,9,10,1,2021-10-23,28,0
3374,2,4,1,2021-10-15,15,0
3375,9,1,2,2021-12-19,4,1
3376,10,7,3,2021-10-11,23,0
3377,2,7,3,2021-12-15,27,0
3378,7,10,3,2021-10-25,29,1
3379,1,4,2,2021-09-28,7,1
3380,4,5,2,2021-12-23,2,0
3381,7,3,2,2021-12-12,29,0
3382,9,7,1,2021-08-18,10,1
3383,8,3,3,2021-09-04,15,1
3384,9,2,2,2021-08-24,17,0
3385,5,4,1,2021-10-23,16,0
3386,5,8,1,2021-10-20,9,1
3387,10,10,2,2021-08-14,11,1
3388,8,8,1,2021-08-19,20,0
3389,5,7,1,2021-08-11,9,1
3390,2,7,1,2021-10-28,4,0
3391,8,9,3,2021-10-31,8,1
3392,4,5,3,2021-09-09,4,0
3393,10,2,1,2021-09-09,28,1
3394,9,10,1,2021-11-28,27,1
3395,5,7,1,2021-10-17,8,0
3396,5,2,2,2021-12-20,28,1
3397,5,10,2,2021-11-22,29,1
3398,7,3,1,2021-10-28,29,1
3399,5,2,1,2021-09-26,3,1
3400,3,5,1,2021-09-14,11,0
3401,7,5,1,2021-12-13,15,0
3402,10,9,2,2021-12-09,16,0
3403,9,1,1,2021-12-15,19,1
3404,6,3,1,2021-09-04,4,1
3405,4,4,1,2021-09-25,25,0
3406,8,8,3,2021-08-20,18,1
3407,6,4,2,2021-08-18,28,0
3408,2,4,2,2021-11-22,5,0
3409,9,5,3,2021-11-24,20,0
3410,1,2,3,2021-12-19,6,1
3411,10,5,3,2021-11-26,10,0
3412,6,3,2,2021-11-20,29,0
3413,8,7,2,2021-08-25,5,1
3414,5,1,2,2021-12-22,4,0
3415,2,9,1,2021-11-30,9,1
3416,4,9,3,2021-11-02,29,1
3417,8,9,1,2021-09-19,23,1
3418,3,6,3,2021-11-14,9,1
3419,6,7,3,2021-12-15,10,0
3420,3,3,1,2021-10-04,25,1
3421,10,9,3,2021-11-01,9,1
3422,4,10,1,2021-09-29,27,1
3423,6,6,2,2021-10-23,13,1
3424,8,7,2,2021-08-18,23,1
3425,8,9,3,2021-12-23,22,1
3426,3,4,2,2021-10-05,4,0
3427,7,6,3,2021-12-31,21,1
3428,10,10,1,2021-10-08,18,1
3429,3,4,1,2021-10-06,12,1
3430,8,9,2,2021-08-19,3,0
3431,6,7,2,2021-11-07,3,1
3432,10,7,3,2021-10-01,16,0
3433,3,7,1,2021-08-26,27,1
3434,6,4,2,2021-09-29,6,1
3435,5,3,2,2021-12-09,2,1
3436,2,5,3,2021-09-27,28,1
3437,1,1,2,2021-08-19,20,1
3438,7,10,1,2021-08-14,16,1
3439,2,9,1,2021-12-04,5,1
3440,9,5,2,2021-08-05,1,0
3441,8,2,1,2021-09-13,2,1
3442,4,3,3,2021-11-12,7,0
3443,2,5,1,2021-11-18,23,1
3444,6,9,2,2021-09-20,15,1
3445,7,6,1,2021-10-19,2,1
3446,10,1,2,2021-11-01,3,0
3447,9,5,3,2021-10-29,20,0
3448,3,7,1,2021-10-10,22,0
3449,8,1,1,2021-08-06,11,1
3450,6,9,3,2021-11-10,19,0
3451,10,8,3,2021-09-16,17,0
3452,8,4,1,2021-11-07,30,1
3453,7,5,1,2021-12-24,25,1
3454,3,4,3,2021-12-05,27,1
3455,3,8,1,2021-12-16,17,0
3456,8,8,1,2021-11-28,8,0
3457,4,9,1,2021-10-05,25,1
3458,1,5,3,2021-09-30,19,1
3459,7,2,1,2021-12-12,13,1
3460,1,2,3,2021-08-17,16,1
3461,3,5,3,2021-11-01,16,0
3462,10,1,2,2021-11-04,28,0
3463,8,6,1,2021-10-11,16,1
3464,7,7,2,2021-08-18,14,0
3465,2,9,1,2021-11-24,23,0
3466,4,8,2,2021-08-12,7,0
3467,5,8,3,2021-11-27,24,0
3468,9,1,2,2021-08-30,12,0
3469,3,9,2,2021-09-25,2,1
3470,6,10,3,2021-09-10,13,0
3471,7,7,1,2021-10-25,27,0
3472,5,10,1,2021-10-30,10,1
3473,6,7,3,2021-12-05,27,0
3474,6,7,2,2021-09-10,6,0
3475,3,4,3,2021-12-16,1,1
3476,7,8,2,2021-10-07,17,1
3477,9,3,2,2021-08-04,4,0
3478,1,10,1,2021-12-05,21,0
3479,7,8,3,2021-12-21,9,0
3480,1,10,3,2021-09-14,6,1
3481,3,4,2,2021-08-30,16,1
3482,9,5,3,2021-10-11,3,0
3483,3,5,3,2021-09-29,27,0
3484,6,5,3,2021-08-04,29,0
3485,7,7,3,2021-09-19,23,0
3486,8,6,1,2021-10-13,9,1
3487,5,8,2,2021-12-14,6,0
3488,9,1,3,2021-10-11,1,0
3489,4,4,2,2021-12-28,16,1
3490,1,4,2,2021-11-13,2,1
3491,6,1,1,2021-08-28,16,1
3492,4,2,1,2021-10-31,29,0
3493,6,6,2,2021-08-20,23,1
3494,7,2,1,2021-12-14,28,1
3495,9,2,1,2021-10-30,22,1
3496,10,7,3,2021-10-06,27,1
3497,3,7,2,2021-10-09,6,0
3498,1,8,3,2021-10-17,25,1
3499,1,1,1,2021-12-18,20,0
3500,10,6,2,2021-10-27,19,1
3501,9,8,1,2021-12-07,12,1
3502,3,6,3,2021-10-22,25,0
3503,6,6,2,2021-08-11,17,0
3504,6,10,2,2021-11-08,24,0
3505,1,7,1,2021-09-22,13,0
3506,9,10,3,2021-09-30,19,0
3507,10,5,3,2021-11-30,10,0
3508,5,2,3,2021-11-18,28,0
3509,5,10,1,2021-10-25,9,1
3510,7,3,2,2021-08-16,15,1
3511,6,4,3,2021-11-05,26,0
3512,7,1,1,2021-08-23,1,0
3513,8,1,3,2021-08-31,13,1
3514,3,4,3,2021-11-24,21,0
3515,9,8,3,2021-12-12,22,1
3516,6,6,3,2021-11-10,1,0
3517,6,5,2,2021-12-14,1,1
3518,1,7,3,2021-12-07,22,0
3519,2,3,3,2021-10-28,8,0
3520,6,3,1,2021-08-15,10,1
3521,2,4,3,2021-11-27,22,1
3522,7,3,3,2021-10-20,27,0
3523,3,7,2,2021-11-10,10,0
3524,5,6,1,2021-12-23,29,0
3525,8,2,3,2021-10-10,25,1
3526,2,4,1,2021-12-30,17,1
3527,6,7,2,2021-08-12,4,0
3528,7,8,1,2021-10-15,25,0
3529,4,6,1,2021-09-08,10,1
3530,6,5,3,2021-11-01,9,0
3531,10,7,2,2021-08-07,10,1
3532,1,4,3,2021-11-12,17,1
3533,3,10,2,2021-08-02,29,0
3534,10,3,3,2021-09-18,12,0
3535,10,7,1,2021-12-11,7,0
3536,3,5,3,2021-09-21,8,0
3537,3,8,1,2021-10-22,21,0
3538,9,1,2,2021-11-11,20,0
3539,6,2,3,2021-08-28,26,1
3540,3,10,1,2021-08-12,16,0
3541,4,1,1,2021-11-22,23,0
3542,5,4,3,2021-10-18,3,0
3543,4,5,3,2021-11-04,17,1
3544,7,3,3,2021-08-04,8,0
3545,3,8,1,2021-12-25,7,1
3546,6,8,2,2021-12-21,29,1
3547,7,7,2,2021-10-12,26,0
3548,8,10,1,2021-09-28,7,0
3549,4,10,1,2021-10-05,30,1
3550,10,2,2,2021-09-12,20,1
3551,3,9,2,2021-11-18,29,1
3552,5,3,3,2021-09-15,7,1
3553,7,6,1,2021-10-04,17,1
3554,3,2,1,2021-12-11,3,0
3555,4,5,1,2021-08-12,8,0
3556,3,1,1,2021-10-08,18,1
3557,3,8,1,2021-08-13,12,0
3558,3,8,1,2021-10-02,26,0
3559,10,6,1,2021-08-11,16,0
3560,10,5,1,2021-08-04,29,0
3561,9,7,3,2021-09-25,29,0
3562,5,5,1,2021-12-16,18,0
3563,1,8,2,2021-09-21,24,0
3564,5,4,1,2021-10-27,20,1
3565,3,3,1,2021-11-21,17,0
3566,9,7,3,2021-08-06,28,1
3567,5,7,3,2021-10-16,4,1
3568,10,5,2,2021-11-24,7,0
3569,7,7,3,2021-10-27,20,0
3570,2,7,1,2021-09-24,3,1
3571,6,3,3,2021-10-14,30,0
3572,10,3,3,2021-10-03,21,0
3573,5,7,1,2021-09-16,18,0
3574,1,6,3,2021-11-05,11,1
3575,9,7,1,2021-09-11,7,0
3576,8,4,1,2021-08-16,15,0
3577,2,8,1,2021-10-01,27,0
3578,1,6,3,2021-08-21,22,1
3579,5,10,2,2021-11-20,6,0
3580,10,6,3,2021-10-07,28,1
3581,6,10,3,2021-11-03,17,1
3582,8,10,2,2021-12-09,27,1
3583,8,3,3,2021-10-16,24,1
3584,3,9,1,2021-09-08,1,1
3585,2,9,1,2021-12-16,14,1
3586,5,4,1,2021-12-30,7,0
3587,9,8,3,2021-10-29,4,1
3588,1,3,2,2021-10-04,29,0
3589,9,2,1,2021-11-18,23,1
3590,2,2,3,2021-09-20,5,0
3591,4,3,3,2021-10-26,4,1
3592,6,9,3,2021-08-03,27,0
3593,5,3,1,2021-09-11,11,0
3594,8,2,3,2021-10-25,20,1
3595,10,2,1,2021-09-08,21,1
3596,7,3,1,2021-12-12,18,0
3597,2,2,2,2021-12-05,21,0
3598,4,9,1,2021-08-29,17,0
3599,5,8,1,2021-08-06,7,0
3600,5,6,2,2021-08-04,2,1
3601,10,5,2,2021-11-16,13,1
3602,6,1,2,2021-08-30,24,1
3603,3,10,1,2021-11-10,18,0
3604,10,3,2,2021-09-22,19,0
3605,2,8,3,2021-11-08,18,0
3606,3,4,2,2021-11-22,13,0
3607,5,5,2,2021-09-04,30,1
3608,8,6,3,2021-12-16,3,0
3609,5,9,3,2021-08-12,23,1
3610,10,2,2,2021-12-17,23,1
3611,9,4,2,2021-12-06,24,0
3612,2,7,2,2021-08-04,1,0
3613,8,7,1,2021-12-03,6,1
3614,9,5,3,2021-12-15,2,0
3615,4,7,2,2021-12-02,29,1
3616,9,6,3,2021-10-19,20,0
3617,4,8,2,2021-09-20,14,1
3618,6,8,2,2021-12-15,7,1
3619,10,3,3,2021-08-20,7,0
3620,8,10,1,2021-10-19,6,0
3621,6,3,3,2021-08-11,26,0
3622,9,2,3,2021-10-22,12,0
3623,8,4,2,2021-10-02,1,0
3624,10,6,1,2021-09-21,1,0
3625,6,7,1,2021-12-21,26,1
3626,7,3,3,2021-09-25,26,0
3627,7,5,2,2021-10-17,21,1
3628,6,5,1,2021-10-18,24,1
3629,7,8,2,2021-09-23,25,0
3630,2,10,1,2021-08-17,24,0
3631,4,8,3,2021-10-15,7,0
3632,10,1,2,2021-08-04,15,1
3633,3,9,3,2021-11-02,16,1
3634,5,9,3,2021-10-22,27,0
3635,3,3,3,2021-08-25,5,1
3636,10,8,2,2021-12-06,16,0
3637,10,9,2,2021-11-05,14,1
3638,1,3,2,2021-10-05,22,1
3639,2,3,3,2021-10-23,15,1
3640,8,7,3,2021-09-26,6,0
3641,6,10,1,2021-11-22,29,0
3642,5,9,2,2021-08-14,28,1
3643,1,5,2,2021-12-01,13,0
3644,2,10,1,2021-08-15,30,0
3645,2,2,2,2021-09-13,19,1
3646,8,8,1,2021-12-17,24,1
3647,10,5,3,2021-08-25,29,1
3648,2,9,1,2021-12-05,18,1
3649,3,8,2,2021-11-09,24,0
3650,6,6,1,2021-11-05,24,1
3651,10,1,2,2021-08-14,28,0
3652,2,1,1,2021-08-03,30,1
3653,8,4,1,2021-11-13,20,0
3654,4,9,1,2021-08-18,10,1
3655,5,2,1,2021-09-03,26,0
3656,3,2,1,2021-12-07,4,1
3657,3,2,2,2021-10-17,28,0
3658,2,4,2,2021-09-13,2,0
3659,3,2,3,2021-11-05,29,1
3660,5,10,1,2021-10-04,10,1
3661,8,1,3,2021-08-10,25,0
3662,9,5,3,2021-11-14,30,0
3663,6,2,2,2021-10-10,30,1
3664,4,6,3,2021-10-04,10,0
3665,4,10,2,2021-09-06,17,1
3666,9,2,2,2021-09-05,25,1
3667,1,6,1,2021-08-22,15,1
3668,4,9,2,2021-10-21,17,0
3669,10,3,3,2021-10-29,6,0
3670,8,3,1,2021-10-10,5,1
3671,10,5,1,2021-09-04,22,1
3672,9,4,3,2021-08-07,16,0
3673,5,4,2,2021-08-06,21,1
3674,3,1,3,2021-10-12,10,1
3675,2,10,1,2021-12-06,23,0
3676,4,6,1,2021-12-05,6,1
3677,3,9,3,2021-12-01,4,1
3678,6,6,3,2021-11-06,20,0
3679,7,8,2,2021-08-16,30,0
3680,10,8,2,2021-08-09,20,1
